Longitude,Latitude,MOD13Q1_006__250m_16_days_EVI_doy2011081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2011241_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012081_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012097_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012113_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012129_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012145_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012161_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012177_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012193_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012209_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012225_aid0001_tif,MOD13Q1_006__250m_16_days_EVI_doy2012241_aid0001_tif
-86.7427979,34.9538002,4854,6840,6102,6057,6422,4591,5686,6647,5652,4215,3000,5838,5955,3303,2174,2382,6816,5766,6892,6387,4873,1768
-86.7377014,34.9538002,5390,6834,7421,4851,4713,4499,4326,3302,5694,5230,5157,5568,2614,2996,1728,2087,6839,5300,5928,5234,4833,1889
-86.735199,34.9538002,5968,6834,7996,3722,4680,4600,3029,3519,5668,5684,5157,4207,5147,3207,1728,2813,6931,4878,5421,5609,5259,3220
-86.6158981,34.9534988,2358,5784,2643,2422,2846,2194,3822,6684,8633,8237,6762,6581,6483,6058,2671,2558,3059,2131,2656,5750,8583,7626
-86.6007004,34.9534988,6268,6071,6814,4722,3036,3118,2411,3732,8008,6601,7061,2942,2887,2153,3078,4293,5336,4005,4155,3278,4005,3371
-86.5981979,34.9534988,4369,6100,5511,5059,2902,2643,3345,3954,8522,6836,7250,1981,1998,3229,3206,5034,5690,3901,4887,4279,2596,3050
-86.7479019,34.9518013,2850,5860,5900,6388,6521,5915,5995,5776,5554,5125,4368,5398,5467,3293,2548,3276,6438,5495,5935,5994,5241,2215
-86.7453003,34.9518013,5061,5860,6492,6501,6697,4563,5626,5825,5285,4439,4368,6163,5099,3698,2204,3710,6868,5411,7037,6756,5522,2070
-86.7427979,34.9518013,5613,6840,6400,6079,6784,3990,4894,6602,5900,4319,3225,6652,6178,3012,1999,2923,6868,5866,7044,6299,5017,1769
-86.735199,34.9516983,6047,7300,7996,3481,4444,4043,3519,3302,5920,5558,5157,3661,2916,3207,2442,2321,6509,5334,5990,5691,4833,3444
-86.6159973,34.9514008,4017,5468,2643,1906,2037,2186,3822,6398,8541,8398,6762,6332,6470,7001,2671,2159,3436,2805,2614,5558,8255,7109
-86.6134033,34.9514008,2358,5053,2271,2327,2601,2641,4759,6663,8633,8387,6481,5964,6047,5550,3600,3661,3472,3587,3565,4945,7594,6938
-86.6007004,34.9514008,6268,6975,6665,3818,3094,2737,2885,4593,7342,5757,6528,2040,2010,2153,3923,5783,6069,4723,1264,3027,2354,2449
